Hours_Studied,Attendance,Previous_Scores,Parental_Involvement,Learning_Disabilities,Access_to_Resources,Distance_from_Home,Tutoring_Sessions,Exam_Score
19,65,74,High,No,High,Near,1,66
29,83,77,Medium,No,Low,Near,1,70
13,65,73,Low,No,High,Near,0,62
16,60,66,Low,Yes,Medium,Moderate,1,59
15,83,97,Medium,No,Medium,Near,2,97
17,87,68,High,No,High,Near,1,70
18,84,98,Low,No,High,Near,3,69
21,85,52,Low,No,High,Moderate,5,71
27,72,68,Medium,Yes,Low,Near,0,63
5,69,77,Medium,No,Medium,Near,2,60
17,99,59,Medium,No,High,Moderate,0,68
22,61,60,Medium,No,High,Moderate,0,63
10,95,74,High,No,Low,Far,2,66
39,75,82,Medium,No,High,Near,1,73
18,71,61,Low,No,Low,Near,2,61
19,62,60,High,No,Low,Far,1,61
20,92,53,Medium,No,Low,Far,2,68
23,91,53,High,No,Medium,Near,3,70
20,65,100,Medium,No,High,Moderate,2,67
25,76,61,Medium,No,High,Far,1,67
18,94,81,High,No,High,Near,0,71
19,69,72,Medium,No,Low,Far,1,61
11,80,96,Medium,No,Medium,Near,1,65
15,80,56,High,Yes,Low,Near,3,64
22,81,80,Medium,No,Low,Moderate,1,67
20,70,70,Medium,No,Medium,Near,0,65
16,71,52,Medium,No,High,Far,0,62
16,93,58,Medium,No,Medium,Near,1,70
13,82,56,Medium,No,High,Near,2,66
26,75,76,Medium,No,Low,Near,2,68
17,78,76,Low,No,Medium,Near,4,66
28,62,85,Low,No,High,Moderate,2,66
13,89,98,Low,No,High,Near,0,67
24,91,93,High,No,Medium,Moderate,0,71
12,83,61,Medium,Yes,High,Near,3,66
25,98,84,Medium,No,Medium,Near,1,73
21,96,78,Medium,No,High,Near,2,72
22,64,91,Low,No,Medium,Moderate,0,63
25,99,97,High,No,Medium,Moderate,0,75
21,99,85,Medium,No,Medium,Moderate,4,73
21,94,88,Medium,No,Medium,Near,1,71
19,96,54,Medium,No,Medium,Near,1,69
21,99,65,High,No,Medium,Far,1,71
16,64,79,High,Yes,Medium,Near,3,66
13,85,71,Low,No,High,Near,1,66
12,72,88,Medium,No,Medium,Near,2,65
19,99,52,High,No,Medium,Near,1,70
15,65,62,Medium,No,Medium,Moderate,1,61
13,71,51,Medium,No,High,Moderate,4,65
13,83,59,Low,No,Low,Near,4,63
18,91,96,Low,No,High,Near,2,71
10,76,76,Medium,No,Low,Near,1,80
13,84,94,Medium,Yes,Medium,Near,3,66
24,71,91,Low,No,High,Far,3,67
24,96,75,High,No,High,Moderate,1,72
14,90,50,Low,No,Medium,Moderate,0,65
21,85,61,High,Yes,Medium,Near,2,68
14,90,51,Medium,Yes,Medium,Near,1,66
23,99,50,High,Yes,High,Near,1,71
25,72,73,High,No,Low,Moderate,4,69
26,90,53,High,No,High,Far,1,71
27,86,82,Medium,No,Medium,Moderate,2,70
26,75,97,High,No,High,Far,1,69
30,71,70,High,Yes,Low,Near,3,67
20,94,89,Medium,No,Medium,Near,0,68
15,78,95,Medium,No,High,Near,1,69
13,98,67,High,No,High,Moderate,1,71
10,94,65,Medium,No,High,Moderate,3,65
21,100,67,Medium,No,Medium,Far,0,70
20,78,85,High,No,Medium,Near,1,69
21,79,54,Medium,No,Low,Moderate,3,67
33,64,52,Medium,No,Medium,Near,3,67
11,85,92,Medium,No,Low,Near,0,64
21,84,66,High,Yes,Low,Far,2,68
